payment_history,credit_utilization,length_credit_history,credit_mix,new_credit_enquiries,income_stability_index,digital_transaction_ratio,savings_ratio,platform_loyalty_months,micro_loan_repayment,age,work_experience,monthly_income,debt_to_income_ratio,number_of_platforms,avg_weekly_hours,emergency_fund_months,bank_account_age_months,credit_card_count,missed_payments_last_year,education_level,financial_literacy_score,credit_score
0.7,0.51,1,0.26,5,0.89,0.56,0.54,33,0.01,18,2,8290.12,0.5,7,24.6,14.4,41,8,5,3,0.86,349
0.33,0.07,16,0.0,4,0.25,0.55,0.43,17,0.73,41,4,7899.25,1.01,5,52.3,17.2,79,9,2,3,0.41,374
0.59,0.5,4,0.01,1,0.84,0.9,0.31,5,0.01,51,17,6644.24,0.43,7,48.0,17.5,41,8,5,1,0.82,385
0.0,0.51,16,0.01,4,0.86,0.51,0.41,17,0.02,41,4,7814.62,0.99,2,46.6,12.7,82,2,2,1,0.57,339
0.01,0.68,3,0.37,7,0.75,0.46,0.45,5,0.02,44,17,9203.92,0.22,5,25.2,6.5,66,5,4,1,0.63,361
0.0,0.4,13,0.0,2,0.21,0.81,0.3,47,0.03,60,15,1796.31,0.27,1,48.2,1.9,104,3,2,1,0.8,357
0.01,0.71,13,0.0,2,0.77,0.9,0.28,5,0.02,64,12,13353.9,0.36,3,30.8,6.2,106,9,6,1,0.61,352
0.44,0.34,11,0.0,3,0.47,0.53,0.18,41,0.01,64,3,8379.89,0.58,1,51.8,9.0,106,5,3,1,0.6,366
0.72,0.37,12,0.0,3,0.95,0.12,0.12,6,0.01,21,5,2225.02,0.82,7,69.6,1.1,36,7,4,4,1.0,422
0.01,0.51,10,0.01,3,0.85,0.33,0.09,51,0.0,19,3,8656.31,0.51,2,33.3,18.2,41,5,9,4,0.6,350
0.0,0.51,11,0.37,3,0.3,0.65,0.14,37,0.01,41,3,5605.69,0.58,2,39.0,12.1,15,4,6,2,0.6,333
0.45,0.68,19,0.0,4,0.19,0.54,0.06,15,0.01,52,16,13221.52,0.77,2,22.9,17.5,14,1,2,4,0.51,390
0.0,0.55,7,0.01,4,0.36,0.25,0.08,5,0.01,31,3,5425.4,0.59,2,48.2,19.5,44,7,2,5,0.59,329
0.01,0.42,0,0.0,0,0.51,0.54,0.27,5,0.02,57,7,9677.34,0.13,6,37.2,16.9,47,3,2,5,0.61,370
0.91,0.76,5,0.01,3,0.78,0.8,0.07,5,0.01,19,3,11521.78,0.87,1,20.6,12.2,18,3,3,1,0.58,337
0.0,0.19,14,0.0,4,0.62,0.75,0.31,51,0.0,43,10,9334.6,0.5,4,26.3,21.8,43,5,7,1,0.97,340
0.94,0.17,17,0.63,6,0.79,0.64,0.05,5,0.0,21,4,13761.95,0.73,2,65.3,9.5,14,5,2,1,0.26,409
0.96,0.85,0,0.0,3,0.99,0.86,0.06,57,0.02,18,2,9026.02,0.4,1,62.2,4.9,62,4,2,2,0.46,393
0.01,0.89,1,0.01,2,0.78,0.51,0.11,44,0.94,41,6,3589.42,0.03,1,39.4,14.1,27,9,11,1,0.62,348
0.01,0.93,8,0.0,5,0.89,0.58,0.09,7,0.01,30,14,3943.13,0.91,6,27.3,0.8,35,7,2,2,0.6,339
0.62,0.51,16,0.51,1,0.6,0.81,0.05,5,0.02,25,6,11908.8,0.27,3,57.5,10.1,92,6,11,2,0.88,375
0.31,0.24,7,0.0,6,0.61,0.62,0.43,28,0.01,51,2,4284.69,0.72,6,69.7,9.3,42,5,4,2,0.6,337
0.0,0.74,16,0.81,7,0.99,0.52,0.09,50,0.0,31,8,7945.62,0.56,2,56.4,6.3,27,3,9,2,0.59,336
0.0,0.51,4,0.0,1,0.59,0.58,0.41,41,0.01,34,4,10011.32,0.83,7,20.0,3.5,32,3,8,1,0.41,333
0.01,0.61,16,0.01,3,0.66,0.85,0.2,58,0.0,19,3,3488.94,0.1,3,30.8,9.5,41,7,10,4,0.78,374
0.01,0.41,4,0.01,1,0.23,0.33,0.3,43,0.0,34,12,3285.01,0.6,2,21.7,2.3,22,0,8,1,0.76,354
0.0,0.64,16,0.01,0,0.92,0.68,0.35,41,0.97,64,9,9314.63,1.01,2,51.0,21.9,19,4,6,1,0.36,332
0.0,0.76,16,0.01,3,0.88,0.38,0.4,17,0.01,41,9,4340.39,0.1,2,71.2,12.5,48,7,9,4,0.66,363
0.57,0.5,3,0.0,1,0.6,0.83,0.27,37,0.01,41,9,7032.77,0.53,7,76.7,11.5,82,1,8,1,0.79,361
0.0,0.51,9,0.0,0,0.61,0.29,0.11,3,0.01,41,4,1961.6,0.97,1,47.7,14.3,118,9,2,3,0.81,346
0.02,0.51,2,0.77,5,0.7,0.78,0.27,25,0.02,31,4,7864.46,0.09,1,41.6,6.9,41,8,2,1,0.96,378
0.01,0.36,4,0.71,1,0.53,0.45,0.13,5,0.02,41,17,2058.22,0.22,5,73.3,23.8,119,7,2,1,0.66,398
0.02,0.54,12,0.71,7,0.83,0.69,0.43,59,0.01,41,12,12736.19,0.7,2,22.5,16.8,65,6,2,5,0.9,387
0.87,0.17,10,0.0,3,0.93,0.1,0.28,13,0.02,56,1,8527.55,0.51,5,55.0,23.6,41,0,7,2,0.71,380
0.01,0.16,16,0.01,1,0.53,0.85,0.2,15,0.0,46,3,8113.79,0.17,4,19.6,6.9,22,5,2,1,0.77,374
0.01,0.11,17,0.01,6,0.98,0.77,0.06,12,0.0,41,9,1355.75,0.04,2,35.8,11.9,56,9,6,2,0.6,380
0.02,0.82,19,0.0,0,0.55,0.39,0.16,38,0.02,52,16,10217.59,0.38,7,46.2,13.1,65,8,0,1,0.26,390
0.01,0.81,19,0.0,4,0.29,0.12,0.46,3,0.5,32,13,9291.84,0.51,6,58.1,10.3,43,8,2,4,0.25,352
0.0,0.49,11,0.01,3,0.3,0.54,0.31,5,0.01,37,9,5879.31,0.78,2,76.8,2.1,41,0,0,1,0.47,355
0.0,0.49,16,0.01,2,0.39,0.99,0.28,36,0.02,46,18,3394.4,0.02,3,48.6,5.4,101,3,7,1,0.59,342
0.0,0.44,16,0.0,6,0.6,0.52,0.44,31,0.02,41,19,9798.51,0.74,2,64.8,11.7,55,0,2,1,0.56,340
0.54,0.51,7,0.01,3,0.52,0.3,0.28,31,0.01,20,4,7081.28,0.32,5,47.8,12.7,15,8,2,1,0.57,395
0.01,0.22,4,0.0,2,0.23,0.22,0.49,24,0.8,51,17,14614.2,0.58,7,48.6,8.4,43,3,6,5,0.3,390
0.0,0.21,16,0.01,4,0.56,0.87,0.1,34,0.01,18,2,7960.91,0.69,2,47.4,15.0,13,3,7,1,0.22,356
0.02,0.66,16,0.35,7,0.87,0.69,0.3,28,0.0,23,7,12941.29,0.98,5,66.6,13.5,41,8,10,4,0.72,363
0.53,0.67,5,0.83,4,0.84,0.49,0.42,5,0.47,41,6,1000.0,0.34,4,47.7,14.7,20,4,2,4,0.63,395
0.86,0.51,17,0.37,3,0.95,0.12,0.5,47,0.0,32,3,13784.97,0.08,2,74.6,8.1,39,3,4,4,0.73,392
0.01,0.33,3,0.01,1,0.43,0.54,0.22,25,0.71,24,8,3364.43,0.54,7,49.8,7.0,118,9,9,4,0.55,360
0.03,0.45,1,0.01,3,0.39,0.54,0.28,21,0.01,25,9,7845.92,0.67,4,36.4,7.8,75,1,6,4,0.72,376
1.0,0.44,19,0.0,3,0.27,0.97,0.31,47,0.0,41,15,6864.85,0.42,2,68.1,0.1,21,7,3,3,0.94,402
0.02,0.52,18,0.0,4,0.78,0.55,0.38,1,0.0,38,19,9938.52,0.52,2,67.0,21.0,21,5,2,4,0.76,404
0.0,0.35,16,0.0,1,0.95,0.6,0.16,5,0.0,40,3,13012.85,0.17,6,47.9,23.5,106,3,9,4,0.95,317
0.02,0.54,12,0.47,7,0.63,0.56,0.36,3,0.0,31,8,5734.83,0.04,3,60.4,12.4,87,3,3,1,0.6,383
0.01,0.22,4,0.01,3,0.51,0.34,0.28,11,0.01,41,19,4564.45,0.15,6,47.8,3.6,57,1,7,3,0.5,361
0.9,0.39,16,0.01,0,0.96,0.8,0.17,5,0.02,46,0,12877.78,0.06,4,66.2,20.0,39,7,10,1,0.69,394
0.59,0.55,7,0.0,5,0.26,0.56,0.44,8,0.02,42,9,14701.82,0.67,3,23.4,14.7,83,8,8,1,0.62,364
0.91,0.34,3,0.4,7,0.3,0.55,0.46,16,0.01,51,10,1698.02,0.11,2,52.6,2.5,41,7,10,4,0.51,338
0.01,0.67,16,0.01,0,0.73,0.36,0.41,55,0.0,29,8,8452.44,0.54,5,64.2,10.8,13,7,6,1,0.6,356
0.0,0.34,10,0.0,3,0.23,0.24,0.07,5,0.02,32,16,12196.15,0.22,2,47.9,19.8,82,5,10,5,0.67,361
0.02,0.3,16,0.01,4,0.29,0.62,0.27,25,0.02,41,14,3136.8,0.56,1,63.4,11.9,8,0,3,3,0.51,396
0.0,0.73,13,0.63,2,0.75,0.44,0.27,36,0.01,41,9,11714.21,0.04,1,15.4,17.9,58,8,3,3,0.79,363
0.0,0.1,14,0.01,3,0.44,0.25,0.32,20,0.03,44,14,8279.62,0.42,6,64.3,17.4,95,3,4,1,0.66,358
0.0,0.87,16,0.01,7,0.61,0.54,0.36,5,0.01,41,13,7861.49,0.61,4,40.6,22.5,94,3,3,5,0.26,341
0.01,0.3,16,0.37,6,0.93,0.32,0.13,54,0.01,41,9,12814.25,0.27,1,46.5,0.8,89,1,9,3,0.3,378
0.01,0.73,5,0.01,1,0.79,0.59,0.06,48,0.01,59,11,7900.78,0.51,2,66.4,12.4,19,3,2,1,0.59,364
0.0,0.64,4,0.01,2,0.61,0.38,0.47,12,0.59,58,0,3112.33,0.21,2,48.0,6.2,76,5,6,1,0.61,345
0.02,0.56,16,0.37,6,0.75,0.59,0.03,6,0.02,27,4,13971.05,0.52,2,47.1,20.4,71,9,1,3,0.71,378
0.01,0.31,16,0.01,3,0.31,0.41,0.49,51,0.01,49,6,13420.81,0.54,4,48.2,19.0,91,7,7,5,0.61,365
0.02,0.83,8,0.01,3,0.81,0.55,0.02,25,0.01,20,4,4955.39,0.4,3,21.8,16.5,94,1,10,3,0.55,359
0.0,0.14,16,0.45,3,0.8,0.35,0.16,5,0.81,32,15,13687.13,0.51,4,59.9,19.3,12,3,2,5,0.92,377
0.01,0.59,16,0.37,6,0.35,0.9,0.33,43,0.01,47,5,14517.77,0.85,1,67.1,11.9,41,0,6,5,0.73,345
0.01,0.37,1,0.01,3,0.47,0.24,0.36,56,0.0,50,2,3011.53,0.34,7,45.9,4.9,80,8,6,1,0.71,343
0.0,0.46,14,0.0,0,0.31,0.71,0.16,40,0.0,64,6,3495.26,0.67,1,70.2,6.3,68,2,3,1,0.6,334
0.66,0.51,5,0.45,4,0.22,0.36,0.33,14,0.01,34,6,8024.09,0.8,4,58.7,12.5,87,2,0,3,0.59,387
0.01,0.16,13,0.01,3,0.89,0.59,0.18,30,0.0,41,19,1272.04,0.52,6,47.2,11.6,31,5,6,1,0.43,374
0.01,0.67,19,0.37,4,0.97,0.55,0.36,59,0.01,36,14,7894.5,0.45,6,22.0,1.5,86,8,0,4,0.45,373
0.35,0.26,13,0.37,5,0.68,0.54,0.03,28,0.02,58,13,5689.17,0.98,7,49.1,2.2,41,0,11,3,0.42,355
0.0,0.52,4,0.37,7,0.87,0.65,0.27,33,0.0,26,8,10227.1,0.51,1,18.1,12.3,101,0,7,5,0.76,319
0.01,0.5,11,0.01,6,0.68,0.89,0.22,40,0.01,55,19,11940.64,0.63,7,48.5,2.1,27,2,5,4,0.96,346
0.01,0.07,7,0.0,3,0.43,0.56,0.23,53,0.75,59,9,5282.07,0.94,1,67.8,12.2,41,0,2,1,0.85,365
0.9,0.51,12,0.67,5,0.99,0.55,0.07,46,0.0,57,11,8258.86,0.74,5,61.7,12.3,41,0,9,4,0.86,371
0.01,0.45,7,0.01,7,0.5,0.63,0.35,33,0.01,51,4,9865.71,0.05,1,37.3,3.7,34,9,11,1,0.5,339
0.01,0.51,3,0.01,0,0.65,0.58,0.37,59,0.87,20,4,12631.67,0.72,2,47.9,4.1,90,4,11,3,0.6,355
0.7,0.2,2,0.31,1,0.59,0.46,0.29,5,0.99,35,7,5515.27,0.77,3,28.1,9.7,33,4,0,5,0.6,439
0.01,0.51,1,0.71,4,0.56,0.13,0.37,5,0.01,22,6,10726.31,0.47,2,76.1,12.5,22,2,2,1,0.98,365
0.01,0.7,13,0.37,3,0.53,0.55,0.2,38,0.59,25,2,8024.53,0.62,5,46.9,22.7,39,3,2,5,0.95,373
0.01,0.64,16,0.01,1,0.39,0.56,0.24,2,0.0,30,14,3952.13,0.87,3,66.6,22.7,41,6,10,5,0.67,347
0.66,0.5,12,0.01,4,0.54,0.77,0.09,55,0.01,27,9,12396.69,0.54,4,58.6,5.8,33,3,4,4,0.61,340
0.01,0.89,7,0.39,6,0.32,0.89,0.28,5,0.01,51,10,4585.14,0.39,1,13.6,12.2,31,3,2,2,0.6,349
0.01,0.51,16,0.0,1,0.56,0.42,0.46,29,0.02,18,2,4889.96,0.83,2,48.4,7.8,105,1,2,1,0.55,365
0.03,0.89,18,0.0,1,0.23,0.61,0.47,25,0.0,27,11,8055.07,0.17,2,61.2,16.3,38,7,2,4,0.3,414
0.01,0.31,19,0.01,3,0.99,0.18,0.26,39,0.01,45,8,7715.43,0.12,6,65.3,0.0,41,6,8,5,0.52,365
0.59,0.5,1,0.0,0,0.9,0.76,0.33,36,0.0,62,12,1415.89,0.39,7,23.3,17.5,75,3,11,4,0.52,376
0.01,0.49,16,0.83,3,0.59,0.54,0.0,43,0.01,41,5,7985.24,0.75,7,65.8,18.9,109,9,11,3,0.65,355
0.0,0.16,16,0.0,7,0.48,0.42,0.37,7,0.01,41,11,1126.17,0.32,2,57.2,23.4,116,3,2,1,0.63,351
0.02,0.3,12,0.0,3,0.6,0.9,0.37,29,0.01,45,12,8143.15,0.76,2,44.9,1.4,95,3,7,1,0.4,378
0.02,0.55,16,0.01,0,0.6,0.33,0.11,42,0.94,41,9,7840.66,0.53,3,52.9,3.4,58,3,7,4,0.6,381
0.02,0.51,0,0.44,3,0.47,0.76,0.27,5,0.0,63,17,10572.88,0.94,4,48.3,15.4,80,7,5,1,0.59,366
0.66,0.4,11,0.87,7,0.71,0.54,0.2,59,0.01,41,11,4436.87,0.42,2,55.0,2.2,87,9,2,4,0.87,374
0.97,0.93,15,0.37,1,0.97,0.45,0.44,30,0.01,64,0,7442.41,0.51,1,48.1,12.2,64,3,7,2,0.83,419
0.0,0.26,12,0.01,6,0.6,0.56,0.1,41,0.01,22,0,3574.33,0.88,5,29.7,12.8,73,4,10,1,0.65,316
0.02,0.82,12,0.45,6,0.59,0.92,0.43,5,0.01,31,3,12486.15,0.88,2,28.0,14.1,41,8,2,4,0.71,364
0.02,0.94,6,0.34,4,0.61,0.37,0.12,51,0.0,21,5,14444.73,0.22,7,48.1,15.3,46,4,6,1,0.6,389
0.0,0.78,16,0.0,2,0.35,0.44,0.45,54,0.64,33,7,10207.3,0.08,7,64.0,0.7,39,8,0,3,0.59,351
0.32,0.29,3,0.37,7,0.59,0.37,0.36,21,0.73,18,2,8328.53,0.36,1,43.7,12.0,41,1,7,3,0.84,358
0.0,0.82,16,0.0,3,0.22,0.15,0.07,6,0.6,20,4,10983.51,0.73,7,43.2,13.4,86,2,9,4,0.83,346
0.0,0.25,10,0.81,3,0.73,0.55,0.32,5,0.0,19,3,13303.32,0.53,3,47.9,12.1,77,3,6,3,0.88,359
0.0,0.93,16,0.0,5,0.61,0.61,0.09,20,0.02,44,16,6610.0,0.27,2,27.8,11.2,41,3,2,1,0.42,325
0.01,0.6,16,0.37,6,0.36,0.93,0.03,41,0.01,61,18,9729.14,0.66,2,32.8,0.0,72,5,2,3,0.61,360
0.0,0.54,18,0.01,3,0.77,0.55,0.31,32,0.0,55,16,7844.79,0.75,2,36.6,21.3,90,3,8,1,0.55,338
0.01,0.79,8,0.01,2,0.67,0.66,0.32,42,0.82,62,7,10007.28,0.82,7,62.4,0.4,68,0,8,5,0.26,354
0.0,0.42,16,0.0,0,0.73,0.15,0.47,10,0.02,36,3,7926.14,0.93,5,65.4,9.2,107,0,6,1,0.78,344
0.03,0.38,8,0.0,3,0.84,0.4,0.28,5,0.01,50,4,10197.02,0.79,5,41.9,21.0,65,5,9,1,0.6,383
0.0,0.77,17,0.01,5,0.82,0.64,0.1,22,0.0,60,3,3852.92,0.27,3,41.1,12.2,119,8,0,5,0.33,349
0.82,0.69,14,0.01,2,0.84,0.57,0.0,12,0.0,59,19,13203.82,0.82,6,73.7,12.2,41,4,3,1,0.5,381
0.02,0.83,8,0.0,4,0.59,0.26,0.42,42,0.94,29,13,11473.95,0.43,6,35.2,10.8,92,3,6,5,0.33,369
0.0,0.53,16,0.01,5,0.34,0.56,0.03,17,0.02,41,9,13257.66,0.12,7,47.4,2.6,41,1,8,2,0.71,328
0.01,0.5,16,0.37,5,0.67,0.12,0.46,48,0.01,46,6,3066.35,0.68,2,47.0,4.9,41,4,9,1,0.73,358
0.02,0.5,0,0.0,3,0.6,0.81,0.02,3,0.02,60,15,1109.76,0.72,1,47.6,11.4,91,8,2,4,0.48,378
0.0,0.46,18,0.77,0,0.9,0.54,0.05,30,0.76,35,9,8035.71,0.9,2,19.2,20.8,41,8,7,4,0.87,345
0.75,0.11,1,0.56,5,0.56,1.0,0.28,29,0.02,20,4,7901.41,0.37,3,61.0,9.0,65,3,10,2,0.48,382
0.01,0.5,10,0.78,3,0.59,0.55,0.28,49,0.01,48,9,12360.74,0.77,7,49.4,0.8,41,7,8,2,0.64,360
0.02,0.63,9,0.41,4,0.75,0.34,0.1,59,0.01,41,7,9321.63,0.87,6,73.5,12.1,84,0,9,2,0.31,359
0.0,0.5,17,0.01,0,0.42,0.55,0.35,47,0.01,20,0,8626.67,0.83,5,60.3,4.9,105,6,5,2,0.73,334
0.0,0.74,16,0.01,5,0.59,0.55,0.39,58,0.83,41,11,3074.29,0.23,5,48.9,6.0,75,4,2,5,0.7,342
0.02,0.84,16,0.0,4,0.61,0.54,0.23,13,0.0,19,3,11459.32,0.82,5,18.6,2.3,25,9,2,3,1.0,362
0.33,0.43,16,0.01,2,0.49,0.81,0.28,5,0.02,28,9,1271.42,0.53,4,57.9,5.5,41,5,7,2,0.77,376
0.0,0.8,10,0.0,2,0.7,0.86,0.3,25,0.0,46,18,8119.31,0.46,2,46.8,3.7,30,3,3,3,0.88,362
0.01,0.52,4,0.01,3,0.61,0.98,0.32,5,0.89,37,5,9432.63,0.06,3,70.3,9.0,59,1,7,3,0.33,366
0.0,0.68,16,0.01,3,0.59,0.35,0.08,7,0.01,32,7,11120.81,0.45,7,48.8,12.4,86,3,1,4,0.75,350
0.0,0.24,16,0.01,3,0.4,0.72,0.3,16,0.0,64,15,6347.33,0.8,7,47.6,3.2,56,3,4,1,0.92,371
0.98,0.47,13,0.0,6,0.6,0.49,0.28,12,0.02,59,9,14123.67,0.52,3,51.4,18.9,76,3,2,4,0.33,402
0.0,0.51,9,0.0,6,0.61,0.54,0.08,3,0.01,57,7,7081.06,0.27,2,67.8,8.1,13,7,11,2,0.42,327
0.57,0.32,3,0.37,4,0.33,0.93,0.39,38,0.93,40,1,12592.61,0.72,6,66.3,3.2,107,9,7,3,0.18,410
0.01,0.91,17,0.01,0,0.59,0.53,0.42,7,0.0,35,15,5801.26,0.44,1,47.7,12.7,41,7,0,1,0.34,377
0.0,0.62,3,0.01,7,0.6,0.44,0.33,38,0.0,45,2,3865.41,0.54,5,49.0,9.5,41,5,5,1,0.82,318
0.42,0.47,14,0.0,3,0.44,0.3,0.47,23,0.02,25,9,13830.12,0.79,5,45.3,10.9,94,6,1,1,0.8,392
0.94,0.95,11,0.0,1,0.37,0.4,0.23,5,0.03,41,12,2528.71,0.55,2,54.7,6.4,67,0,10,1,0.53,350
0.71,0.64,0,0.0,4,0.88,0.86,0.47,22,0.01,41,17,5334.36,0.74,3,10.0,6.5,16,7,0,5,0.97,396
0.02,0.51,15,0.01,6,1.0,0.96,0.24,38,0.0,26,10,3219.19,0.6,2,48.7,3.2,19,8,1,3,0.41,386
0.0,0.86,19,0.01,1,0.33,0.37,0.06,27,0.02,33,16,1345.66,0.21,5,31.4,17.3,92,1,3,4,0.93,348
0.02,0.72,3,0.61,4,0.6,0.55,0.4,22,0.71,20,4,6708.96,0.55,4,15.5,20.0,66,4,9,5,0.61,369
0.01,0.37,12,0.01,4,0.25,0.64,0.37,51,0.02,45,11,2500.36,0.18,3,62.1,13.5,59,9,8,2,0.54,366
0.02,0.88,19,0.0,3,0.74,0.65,0.17,57,0.01,31,13,1722.99,0.41,7,48.6,11.9,68,2,0,3,0.49,382
0.03,0.79,16,0.01,1,0.27,0.42,0.2,58,0.03,54,15,3880.69,0.28,3,17.1,21.7,41,3,9,4,0.59,392
0.01,0.5,3,0.36,2,0.5,0.7,0.41,22,0.0,39,15,9801.21,0.46,2,15.5,14.7,92,0,1,1,0.44,360
0.0,0.86,4,0.42,7,0.94,0.81,0.07,5,0.01,64,9,13806.35,0.09,2,36.1,19.2,30,2,3,2,0.6,339
0.0,0.53,12,0.0,0,0.6,0.55,0.12,2,0.01,59,17,1736.45,0.03,1,15.7,20.4,64,9,5,1,0.83,354
0.46,0.68,12,0.37,3,0.64,0.56,0.0,5,0.44,44,14,4755.98,0.91,7,48.3,4.3,17,0,2,5,0.6,359
0.0,0.8,4,0.0,3,0.56,0.41,0.44,30,0.01,41,13,8075.11,0.75,5,70.2,18.1,41,2,3,4,0.32,345
0.01,0.72,19,0.01,3,0.78,0.41,0.19,32,0.82,22,3,8823.73,0.33,2,26.7,15.2,98,3,5,4,0.6,374
0.0,0.27,18,0.01,3,0.75,0.82,0.35,4,0.47,41,9,1662.91,0.51,7,63.1,8.6,41,3,9,4,0.43,371
0.01,0.2,2,0.01,3,0.88,0.37,0.24,2,0.02,27,1,9516.16,0.65,6,16.7,10.4,93,0,10,5,0.82,365
0.67,0.28,16,0.01,3,0.36,0.7,0.4,7,0.01,41,3,2547.99,0.15,2,58.3,20.2,41,2,9,1,0.92,389
0.02,0.65,19,0.37,5,0.31,0.11,0.27,10,0.01,59,7,5224.77,0.53,1,57.2,6.0,85,5,8,4,0.75,382
0.58,0.77,4,0.6,4,0.59,0.56,0.01,21,0.02,27,11,2167.26,0.51,2,22.4,19.3,63,5,7,4,0.99,362
0.04,0.51,15,0.9,7,0.84,0.71,0.35,18,0.02,40,9,1006.3,0.28,3,76.0,7.5,83,6,5,4,0.47,423
0.01,0.14,16,0.37,6,0.28,0.85,0.46,34,0.0,22,6,7899.0,0.88,7,62.4,19.2,84,0,4,3,0.48,378
0.0,0.13,7,0.01,3,0.61,0.62,0.25,6,0.01,42,1,9447.07,0.4,1,39.7,11.3,49,6,10,3,0.64,338
0.0,0.52,13,0.52,6,0.45,0.39,0.2,29,0.01,25,9,2988.74,0.63,3,57.5,3.0,89,3,8,4,0.56,327
0.0,0.75,16,0.01,0,0.44,0.51,0.28,53,0.02,41,10,3741.54,0.13,2,48.0,6.5,41,6,10,5,0.63,363
0.01,0.82,18,0.61,6,0.62,0.16,0.02,42,0.01,55,9,8194.0,0.27,6,32.5,7.4,41,9,11,1,0.98,345
0.02,0.72,6,0.01,4,1.0,0.74,0.4,5,0.02,29,10,14315.3,0.52,5,35.2,1.3,94,5,5,1,0.96,364
0.58,0.72,13,0.0,3,0.97,0.33,0.05,5,0.0,64,9,8040.79,0.36,1,18.4,8.5,41,2,11,1,0.3,375
0.01,0.51,16,0.81,5,0.6,0.89,0.21,42,0.01,64,19,6596.83,0.47,1,76.1,15.5,41,1,2,1,0.33,373
0.0,0.51,17,0.0,3,0.59,0.36,0.07,34,0.01,21,5,10650.07,0.21,2,17.0,12.5,41,1,8,5,0.67,341
0.0,0.5,3,0.01,4,0.6,0.28,0.33,58,0.0,43,12,7648.99,0.4,4,17.2,9.8,106,1,4,1,0.92,324
0.61,0.5,10,0.01,3,0.68,0.42,0.39,22,0.56,23,7,7397.76,0.43,5,41.7,12.6,21,3,6,1,0.69,374
0.01,0.47,16,0.21,3,0.85,0.83,0.39,53,0.02,27,6,6090.7,0.62,3,48.1,3.5,88,9,11,5,0.6,370
